"","X1","X2"
"61","L7SKlQ4hH12eIqmabXzE0Q","Exceptional Steak and delicious sides. On my top 10 in Vegas! We had good service too, In 20 minutes our food was ready and was excellent! We dined here on our last night in Las Vegas since we were staying in the hotel.

The food was ok for the most part.  My husband and I shared a jumbo shrimp... Fantastic food and amazing service, Yelp should be ashamed of the political hit job they have allowed on this fine restaurant. Steak was perfectly prepared,..."
"62","8KEB1lcjKlIVSd6uA8JB9w","This is my go to location. Their food is always fresh. I've eaten here a dozen or more times. We usually get pulled pork burritos, grilled chicken burritos,... This location is a joke. They close at 11pm but starts cleaning up the dining area and fountain drink stand at 930pm

HIGHLY RECOMMEND not going to this... Ordered off of Postmates. Horrible quality. I asked for sweet pork barbacoa burrito enchilada style and it came dry with nothing on top and forgot my house..."
"63","FvVSy2r7_zDEhZWqLgjXNQ","First time here. I went to PT & we drove by so that was what I was having for lunch. I had a half of a tongue sandwich & a Bowl of Matzo Ball Soup with 2... YES TO BAGELS!!! 

I love the Bagel Cafe! Literally love. I don't even mind the wait. 

It is the perfect weekend breakfast spot with friends. I enjoy... Oi, bubbele ... you vant zum gut deli dishes lak you uzed to haf in ze oult cuntry off new yourk zity venz you ver ein kint, bat you haf not zeen ein gut..."
"64","N-L7ISdndWsIWdK0fn29wg","Damn... this guys are awesome.. we ordered tandoori chicken and biryani. 
The test is yum, portion is good.
Service is ontime.
Must try this food... 3.5 stars for being the 24/7 open spicy Indian food place here in Venitian.

It was our go to place late at night and the food hit the spot at that time, as... Nothing special..I ordered a chicken tikka massala, that came with a nan bread rice and so called salad.  The salad was literally just onions, with two..."
"65","YBE7FO11s32f6BEpTAJ5Rw","Decided to have my birthday dinner here because the concept of building your own dish appealed to me. 

It did start off on the wrong foot. I wanted to make... My bf and I came here on Monday night. I looked up their webcites before we came and noticed the happy hour menu shows $4.77 each but was not the case. They... Now a gaming establishment, which is kinda surprising. They have 5 machines at the bar. 
I hadn't been here since they opened, so I headed there to..."
"66","OVTZNSkSfbl3gVB9XQIJfw","One thing that is a must to do in Las Vegas is go to a buffet.
At first we were lining up to go to another buffet place but changed our minds since the... This buffet was good. However, for the price I would have expected a lot more. Some of the food was good, some of the food was just ok. The desserts were... On our first night in the city, my friends and I decided this is the buffet we would visit after receiving several recommendations. However, it did not live..."
"67","Os1n1_idfw9vv9kwULGJnQ","Talk about Hawaiian hospitality! We had a group of 8, some getting Korean dishes and others getting local Hawaiian food. 

They first brought out a variety... Such a great neighborhood find! The ambiance here is simple and nothing fancy but impressively amazing service and food. The side dishes were good as well.... 5 stars, 4 years ago... 5 stars now... 

I would give more if I could! Russell was amazing! Gave good recommendations on food and treated us like family...."
"68","rvnTFEq7R2ZHg0_CYbBNFw","Fellow Yelpers looking for a good meal in Las Vegas, this is a good spot. Village Seafood Buffet came on high recommendation from several people, including... Seafood...Buffet? What more needs to be said. Seems like a brilliant idea. However, it is horribly executed here.

Behind the façade of a great value, they... We visited Village Seafood Buffet on our last trip to Vegas to celebrate a special occasion. Vegas has an infinite amount of dining options so we narrowed..."
"69","2PS9kBbuJcmBhcNp-D62uA","Sweetest owner and food is onolicious!  Portion is just right. The food choices are a good variety. Prices are real reasonable too!  Going there hungry is... Horrible 
Chicken tasted like it was microwaved after being reheated.   Crumbled in your mouth
I love chicken teriyaki.   Couldn't eat more than one bite.... Moms is a staple in my list of favorite restaurants. 
Excellent customer service and friendly staff, and of course, the food is phenomenal. 
I do wish their..."
"70","Gyrez6K8f1AyR7dzW9fvAw","As we step into this restaurant the atmosphere remains me of a restaurant in Venice as it close to the gondolas in the Venetian canal. The wine selection... First off, I'll say that I am in love with both Italian and Mediterranean cuisines, and this restaurant did an incredible job of representing the best of... One word...Unbelievable! The ambiance, service and food are all Five Stars!!!

The GM Carmelo Messina was as accommodating as I've ever experienced. He..."
"71","78hGCrQ6wLA2yh8zMywnmw","Love it here. Quick, quality, fresh, healthy. Makes chipotle look like Taco Bell. 

Top notch old skool Vegas type service. That are attentive detail, make... After coming here for years, this place still rocks. Great food, n cold beer.  The staff are amazing, they go out of their way too make your visit awesome.... i wanted some Mexican food for lunch but didn't want anything fattening or greasy..Just finished having lunch here today and love the soup. There are so..."
"72","IMLrj2klosTFvPRLv56cng","This place quickly became one of my favorite brunch spots! And by ""brunch"" of course I mean bottomless mimosas. Anyone can offer bottomless mimosas but... FREAKING DELICIOUS!! 

From the second we stepped into this cute little gem to the second we left, the staff was AMAZING! 
The food and drinks were... This place has impeccable service, but quality of food isn't always on point. Honestly, the stars are for service because I've always had AMAZING service..."
"73","77h11eWv6HKJAgojLx8G4w","My first time I showed up about a few hours after it had opened the lineup was about 100 people long. Don't let the line up discourage you, it moves pretty... Overrated, but everyone's gotta try EggSlut during their lifetime so we will continue to wait in long lines for overpriced breakfast sandwiches.

I got the... Thanks to jetlag from flying from the East coast, we were able to wake up early. Our goal was to get to Eggslut at 7 to avoid waiting but we ended up..."
"74","pH0BLkL4cbxKzu471VZnuA","Best place I ever eat 
They are taking there business very well 
There Emplowees are giving great customer service 
Food is so good 
I will bring family and... I tried Sushi Samba 2 years ago because of one of the kids friendly restaurants in Las Vegas, but it was a huge mistake. Here is the worst place to have... Pros:
- Amazing tasting menu
- Wagyu beef on a heated to 700F rock!
- Unforgettable experience. We liked it so well we had to come back again.

Cons:
-..."
"75","vzrcPqSdRY41GoO5DR5pYA","Taste * Laugh * Live 

Stopped by this iconic seafood restaurant this afternoon for a little birthday lunch! I signed up for a Landry's club card years ago... Amazing seafood. 
I had the crab cake and I never had blue crab. First time, it was pretty damn good pricey but delicious and worth. 
I also had the red... While my best friend was in town from Orlando visiting he wanted to get some good seafood off the Strip. After checking Yelp we found Landry's and decided..."
