"","business_id","sentiments","name","address","city","state","postal_code","latitude","longitude","stars","review_count","is_open","categories","attributes.GoodForKids","attributes.RestaurantsReservations","attributes.GoodForMeal","attributes.BusinessParking","attributes.Caters","attributes.NoiseLevel","attributes.RestaurantsTakeOut","attributes.RestaurantsPriceRange2","attributes.OutdoorSeating","attributes.BikeParking","attributes.Ambience","attributes.HasTV","attributes.WiFi","attributes.Alcohol","attributes.RestaurantsAttire","attributes.RestaurantsGoodForGroups","attributes.RestaurantsDelivery","attributes.BusinessAcceptsCreditCards","Chinese","French","Mexican","Italian","Indian","Japanese","American","China.p","India.p","Italy.p","Japan.p","France.p","Mexico.p"
"25","01Ov9eDxKRY5k6ImMdiWLQ",5,"Hong Kong Garden Seafood & BBQ Cafe","3407 S Jones Blvd","Las Vegas","NV","89146",36.1271853,-115.2250113,3,168,0,"Barbeque, Seafood, Chinese, Restaurants",1,1,3,1,1,"average",1,2,0,0,1,1,"no","beer_and_wine","casual",1,0,1,1,0,0,0,0,0,0,0.0040550566185084,0.00126083561108942,4.04139008199922e-05,8.96134322530262e-05,0,0
"26","01SiPgdiOskMC5bUJoyy_g",1,"Winchell's Pub & Grill","199 E Warm Springs Rd","Las Vegas","NV","89119",36.0566243924,-115.1636807419,4,151,1,"Nightlife, American (Traditional), Pubs, Restaurants, Bars",0,0,2,1,1,"average",1,2,0,1,1,1,"no","full_bar","casual",1,0,1,0,0,0,0,0,0,1,0.0040550566185084,0.00126083561108942,4.04139008199922e-05,8.96134322530262e-05,0,0
"27","01VPJkcU0m8WzlA7dCEpVQ",3,"Tea Space","3466 S Decatur Blvd, Ste E","Las Vegas","NV","89102",36.1267709351,-115.2076159086,4.5,295,1,"Food, Restaurants, Coffee & Tea, American (Traditional), Juice Bars & Smoothies, Bubble Tea, Taiwanese, Tea Rooms",1,0,0,3,0,"average",1,1,1,0,1,0,"free","none","casual",1,0,1,0,0,0,0,0,0,1,0.0040550566185084,0.00126083561108942,4.04139008199922e-05,8.96134322530262e-05,0,0
"28","02pL_Xj3sTO_lHcWqUcwKA",3,"Rollin' Smoke BBQ","4115 S Grand Canyon Dr, Ste 100","Las Vegas","NV","89147",36.1147043,-115.3098123,4,348,1,"Sandwiches, Southern, Restaurants, Barbeque",1,0,2,0,1,"average",1,2,0,1,1,1,"free","none","casual",1,1,1,0,0,0,0,0,0,0,0.0040550566185084,0.00126083561108942,4.04139008199922e-05,8.96134322530262e-05,0,0
"29","065c76tt1dXBNmoGBymUgQ",14,"Cheffini's Hot Dogs","707 Fremont St, Ste 1050","Las Vegas","NV","89101",36.1677987235,-115.1382032304,4,214,1,"Hot Dogs, Beer, Wine & Spirits, Restaurants, Coffee & Tea, Food",1,0,3,1,0,"average",1,1,1,1,3,0,"free","beer_and_wine","casual",1,1,1,0,0,0,0,0,0,0,0.0040550566185084,0.00126083561108942,4.04139008199922e-05,8.96134322530262e-05,0,0
"30","07AZL5XenCQ_-op_onKLdw",-1,"BLT Steak","3645 Las Vegas Blvd S","Las Vegas","NV","89109",36.113669,-115.168933,4,587,1,"Steakhouses, Restaurants, American (Traditional)",0,1,1,2,0,"average",1,3,0,0,2,1,"no","full_bar","casual",1,0,1,0,0,0,0,0,0,1,0.0040550566185084,0.00126083561108942,4.04139008199922e-05,8.96134322530262e-05,0,0
"31","07jQarxKd_8J_AJHD5YBqQ",4,"Muscle Maker Grill - Las Vegas","5765 Centennial Center Blvd, Ste 180","Las Vegas","NV","89149",36.2650228462,-115.259212892,3.5,133,1,"Event Planning & Services, Juice Bars & Smoothies, Cafes, American (New), Food Delivery Services, Rehabilitation Center, Caterers, Restaurants, Health & Medical, Gluten-Free, Sandwiches, Food, Specialty Food, Weight Loss Centers, Salad, Wraps, American (Traditional)",1,0,2,2,1,"average",1,2,0,1,1,1,"free","none","casual",1,1,1,0,0,0,0,0,0,1,0.0040550566185084,0.00126083561108942,4.04139008199922e-05,8.96134322530262e-05,0,0
"32","0ahghcpWQVkm4lEFwx-peA",9,"Habib's Persian Cuisine","2575 S Decatur Blvd","Las Vegas","NV","89102",36.143133,-115.2085074,3.5,182,0,"Nightlife, Bars, Lounges, Persian/Iranian, Restaurants, Desserts, Food, Middle Eastern",1,1,2,1,1,"quiet",1,2,0,1,0,1,"free","full_bar","casual",1,0,1,0,0,0,0,0,0,0,0.0040550566185084,0.00126083561108942,4.04139008199922e-05,8.96134322530262e-05,0,0
"33","0AQnRQw34IQW9-1gJkYnMA",13,"Diablo's Cantina","3770 Las Vegas Blvd S","Las Vegas","NV","89109",36.1041326556,-115.1735436304,3,1159,0,"Nightlife, Restaurants, Bars, Dive Bars, Mexican, Dance Clubs",0,1,2,1,0,"loud",1,2,1,0,1,1,"free","full_bar","casual",1,0,1,0,0,1,0,0,0,0,0.0040550566185084,0.00126083561108942,4.04139008199922e-05,8.96134322530262e-05,0,0
"34","0c6PQILCLwRZ8FIB4AEsGw",2,"China One - West Charleston","11710 W Charleston Blvd, Ste 140","Las Vegas","NV","89135",36.1593761663,-115.3506778771,3.5,108,0,"Chinese, Restaurants",1,0,2,0,1,"average",1,1,0,1,0,0,"no","none","casual",1,1,1,1,0,0,0,0,0,0,0.0040550566185084,0.00126083561108942,4.04139008199922e-05,8.96134322530262e-05,0,0
"35","0d0i0FaJq1GIeW1rS2D-5w",3,"Bruxie","3782 S Las Vegas Blvd, South Tenant Block, Bldg D1","Las Vegas","NV","89109",36.103262,-115.174101,4.5,1394,1,"Desserts, Food, Breakfast & Brunch, Waffles, Sandwiches, Restaurants",1,0,4,1,0,"average",1,2,1,1,3,1,"free","beer_and_wine","casual",1,0,1,0,0,0,0,0,0,0,0.0040550566185084,0.00126083561108942,4.04139008199922e-05,8.96134322530262e-05,0,0
"36","0EgYXYjt2XJL4hlsKnzrcw",8,"PublicUs","1126 Fremont St","Las Vegas","NV","89101",36.1657411,-115.1329505,4.5,905,1,"American (New), Coffee & Tea, Restaurants, Cafes, Food",1,0,3,2,1,"average",1,2,1,1,3,0,"free","beer_and_wine","casual",1,0,1,0,0,0,0,0,0,1,0.0040550566185084,0.00126083561108942,4.04139008199922e-05,8.96134322530262e-05,0,0
"37","0EpnzIpeFvhISkxMTIv9WA",6,"Paradise Place Jamaican Cuisine","7365 W Sahara Ave","Las Vegas","NV","89117",36.1433067322,-115.2535476685,4,131,1,"Seafood, Food, Caribbean, Restaurants",1,1,3,1,1,"quiet",1,2,0,0,1,1,"free","none","casual",1,1,1,0,0,0,0,0,0,0,0.0040550566185084,0.00126083561108942,4.04139008199922e-05,8.96134322530262e-05,0,0
"38","0FHfkDxKSeDuyAEeaY6X-Q",2,"Panera Bread","365 Hughes Center Dr","Las Vegas","NV","89169",36.1149599775,-115.155506283,3.5,121,1,"Sandwiches, Salad, Restaurants, Soup",1,0,3,1,1,"average",1,2,1,1,1,0,"free","none","casual",1,1,1,0,0,0,0,0,0,0,0.0040550566185084,0.00126083561108942,4.04139008199922e-05,8.96134322530262e-05,0,0
"39","0G1y7uV7w1D2uziS4Lt_Dw",-3,"Chapalas Mexican Restaurants","3331 E Tropicana Ave","Las Vegas","NV","89121",36.0996135,-115.1039133,3.5,191,1,"Restaurants, Mexican",1,1,2,1,1,"average",1,2,1,1,1,1,"free","full_bar","casual",1,1,1,0,0,1,0,0,0,0,0.0040550566185084,0.00126083561108942,4.04139008199922e-05,8.96134322530262e-05,0,0
"40","0gTTGuA6uEmMhLhfJi0hqA",12,"Sammy's Woodfired Pizza and Grill","9516 W Flamingo Rd, Ste 100","Las Vegas","NV","89147",36.1158229,-115.2996399,3.5,169,1,"Pizza, Salad, Gluten-Free, American (New), Restaurants",1,1,2,1,1,"average",1,2,1,1,1,1,"no","full_bar","casual",1,0,1,0,0,0,0,0,0,1,0.0040550566185084,0.00126083561108942,4.04139008199922e-05,8.96134322530262e-05,0,0
"41","0Hcks5q-DgJbDlmEWolx4A",5,"Bonefish Grill","8701 W Charleston Blvd","Las Vegas","NV","89117",36.158502,-115.285179,3.5,289,1,"Soup, Seafood, American (New), Cocktail Bars, Restaurants, Nightlife, Bars",1,1,2,1,1,"average",1,2,1,0,1,1,"free","full_bar","casual",1,0,1,0,0,0,0,0,0,1,0.0040550566185084,0.00126083561108942,4.04139008199922e-05,8.96134322530262e-05,0,0
"42","0i9S0BejjRv0ZDwdO9XymA",-1,"Thai Seafood Ginger","1750 S Rainbow Blvd, Ste 8","Las Vegas","NV","89146",36.1526193,-115.2424074,4.5,104,0,"Asian Fusion, Restaurants, Seafood, Thai, Korean",1,1,3,1,0,"average",1,2,0,1,5,1,"free","none","casual",1,1,1,0,0,0,0,0,0,0,0.0040550566185084,0.00126083561108942,4.04139008199922e-05,8.96134322530262e-05,0,0
"43","0jtRI7hVMpQHpUVtUy4ITw",2,"Omelet House Summerlin","2227 N Rampart Blvd","Las Vegas","NV","89128",36.2019904392,-115.283122245,4,266,1,"Beer, Wine & Spirits, Restaurants, American (Traditional), Italian, Food, Breakfast & Brunch",1,0,3,0,0,"average",1,2,0,1,1,1,"no","beer_and_wine","casual",1,0,1,0,0,0,1,0,0,1,0.0040550566185084,0.00126083561108942,4.04139008199922e-05,8.96134322530262e-05,0,0
"44","0LGnU7V3nepi8NUNzyQOXw",5,"Einstein Bros Bagels","6770 N Durango Dr, Ste 140","Las Vegas","NV","89149",36.2837875042,-115.287225086,3.5,116,1,"Breakfast & Brunch, Bagels, Food, Coffee & Tea, Restaurants, Sandwiches",1,0,3,1,1,"average",1,1,1,1,1,0,"free","none","casual",1,0,1,0,0,0,0,0,0,0,0.0040550566185084,0.00126083561108942,4.04139008199922e-05,8.96134322530262e-05,0,0
"45","0NmTwqYEQiKErDv4a55obg",11,"Scarpetta","3708 Las Vegas Blvd S, Level 3","Las Vegas","NV","89109",36.1102405779,-115.1742884517,4,1291,1,"Restaurants, Italian",0,1,1,2,0,"average",0,3,0,0,3,0,"no","full_bar","dressy",1,0,1,0,0,0,1,0,0,0,0.0040550566185084,0.00126083561108942,4.04139008199922e-05,8.96134322530262e-05,0,0
"46","0q_BHpxbikVtPRRLRu-U0g",8,"Picasso","3600 S Las Vegas Blvd","Las Vegas","NV","89109",36.113808,-115.174438,4.5,868,1,"Bars, Mediterranean, Chinese, Spanish, Nightlife, Greek, French, Event Planning & Services, Restaurants, Hotels & Travel, Hotels",0,1,1,2,0,"quiet",0,4,1,0,3,0,"free","full_bar","dressy",1,0,1,1,1,0,0,0,0,0,0.0040550566185084,0.00126083561108942,4.04139008199922e-05,8.96134322530262e-05,0,0
"47","0qet57CmMA5qUm6gPFUTpg",6,"Di Fara Pizza","3570 Las Vegas Blvd S","Las Vegas","NV","89109",36.116163,-115.1750576,3,150,1,"Restaurants, Italian, Pizza",1,0,2,1,0,"average",1,2,0,0,2,0,"free","beer_and_wine","casual",1,0,1,0,0,0,1,0,0,0,0.0040550566185084,0.00126083561108942,4.04139008199922e-05,8.96134322530262e-05,0,0
"48","0qPNeqLuKE88rKbIbSZDpg",2,"Killer Shrimp","6605 S Las Vegas Blvd, Ste 145A","Las Vegas","NV","89119",36.0692928,-115.1775547,3.5,278,0,"Restaurants, American (New), Bars, Nightlife, Seafood",1,1,1,1,0,"average",1,2,1,1,1,1,"free","full_bar","casual",1,1,1,0,0,0,0,0,0,1,0.0040550566185084,0.00126083561108942,4.04139008199922e-05,8.96134322530262e-05,0,0
"49","0QSnurP5Ibor2zepJmEIlw",1,"Tacos La Mexicana","3555 S Durango Dr, Ste B101","Las Vegas","NV","89147",36.1248970032,-115.2791671753,4,163,1,"Food, Food Delivery Services, Restaurants, Mexican",1,0,2,1,1,"average",1,1,1,1,1,1,"free","none","casual",1,0,1,0,0,1,0,0,0,0,0.0040550566185084,0.00126083561108942,4.04139008199922e-05,8.96134322530262e-05,0,0
"50","0S4WFZJZhVeM3aAqKjLz1w",-2,"VooDoo Steakhouse","3700 W Flamingo Road","Las Vegas","NV","89103",36.116174,-115.187304,3.5,317,1,"Steakhouses, Restaurants",0,1,1,2,0,"average",0,3,0,0,1,0,"no","full_bar","dressy",1,0,1,0,0,0,0,0,0,0,0.0040550566185084,0.00126083561108942,4.04139008199922e-05,8.96134322530262e-05,0,0
"51","0uR48n5SYcLE_DLcjONZPg",-3,"Jimmy John's","4800 S Maryland Pkwy","Las Vegas","NV","89119",36.1027139921,-115.1361601567,3.5,116,1,"Delis, Food, Fast Food, Food Delivery Services, Sandwiches, Restaurants",1,0,1,1,1,"average",1,1,0,1,1,0,"no","none","casual",1,1,1,0,0,0,0,0,0,0,0.0040550566185084,0.00126083561108942,4.04139008199922e-05,8.96134322530262e-05,0,0
"52","0VjHFdczi6Nln_nn8bucJQ",12,"Pho Bistro","4130 S Sandhill Rd, Ste A4","Las Vegas","NV","89121",36.1139613,-115.0909408,4,147,1,"Vietnamese, Restaurants, Chinese",1,1,2,1,1,"quiet",1,1,0,1,1,1,"no","none","casual",1,0,1,1,0,0,0,0,0,0,0.0040550566185084,0.00126083561108942,4.04139008199922e-05,8.96134322530262e-05,0,0
"53","0w3BdEOxvwKTpypwbN5kiQ",3,"Tofu Hut","3920 Spring Mountain Rd","Las Vegas","NV","89102",36.1268046,-115.1929146,3.5,693,1,"Barbeque, Vietnamese, Korean, Restaurants",1,0,3,1,0,"average",0,2,0,0,1,1,"no","beer_and_wine","casual",1,0,1,0,0,0,0,0,0,0,0.0040550566185084,0.00126083561108942,4.04139008199922e-05,8.96134322530262e-05,0,0
"54","0WoQQlMXVIDEgI0xNdENKA",4,"Feast Buffet","11011 W Charleston Blvd","Las Vegas","NV","89135",36.1564007,-115.3335552,3.5,655,1,"Buffets, Restaurants",1,0,4,2,0,"average",0,2,0,1,1,0,"free","beer_and_wine","casual",1,0,1,0,0,0,0,0,0,0,0.0040550566185084,0.00126083561108942,4.04139008199922e-05,8.96134322530262e-05,0,0
"55","0WPXDs4ini3D7jpiy1Daqw",0,"The Market","611 Fremont St","Las Vegas","NV","89101",36.1682897,-115.13913,3.5,117,1,"Restaurants, Bars, Delis, Convenience Stores, Beer, Wine & Spirits, Nightlife, Food, Pubs, Coffee & Tea, American (Traditional), Grocery, Sandwiches",1,0,2,2,0,"average",1,2,1,1,1,0,"free","beer_and_wine","casual",1,0,1,0,0,0,0,0,0,1,0.0040550566185084,0.00126083561108942,4.04139008199922e-05,8.96134322530262e-05,0,0
"56","0wW9PasC8pw8SY7rlY3ZKw",3,"Fish King Grill","500 East Windmill Ln, Ste 145","Las Vegas","NV","89123",36.0428965163,-115.1520552859,4.5,258,1,"Cajun/Creole, Food, Restaurants, Desserts, Southern, Salad, Seafood",1,0,2,1,0,"average",1,2,0,0,1,1,"no","beer_and_wine","casual",1,0,1,0,0,0,0,0,0,0,0.0040550566185084,0.00126083561108942,4.04139008199922e-05,8.96134322530262e-05,0,0
"57","0XEqyl_lVaJNHRKxNcjJZg",12,"Coffee Pub","2800 W Sahara Ave, Ste 2A","Las Vegas","NV","89102",36.1453562,-115.1794209,4.5,545,1,"Restaurants, Food, Coffee & Tea, Sandwiches, Breakfast & Brunch",1,0,3,1,1,"average",1,1,1,1,1,0,"free","none","casual",1,1,1,0,0,0,0,0,0,0,0.0040550566185084,0.00126083561108942,4.04139008199922e-05,8.96134322530262e-05,0,0
"58","0xvdC8F0HmFpAFkJk6nXLg",16,"Yojié Japanese Fondue","9440 W Sahara Ave, Ste 175","Las Vegas","NV","89117",36.1454693,-115.30089,4.5,416,1,"Restaurants, Fondue, Food, Japanese, Specialty Food, Hot Pot, Desserts, Asian Fusion",1,0,3,1,0,"average",0,2,0,1,2,1,"free","beer_and_wine","casual",1,0,1,0,0,0,0,0,1,0,0.0040550566185084,0.00126083561108942,4.04139008199922e-05,8.96134322530262e-05,0,0
"59","0YG_kM5caZhtwd6nbnei6A",7,"The Charcoal Room","2411 W Sahara Ave","Las Vegas","NV","89102",36.1430055233,-115.174380141,4,137,1,"Seafood, Steakhouses, Beer, Wine & Spirits, Restaurants, Food",0,1,1,2,1,"average",1,3,0,0,1,1,"no","full_bar","casual",1,0,1,0,0,0,0,0,0,0,0.0040550566185084,0.00126083561108942,4.04139008199922e-05,8.96134322530262e-05,0,0
